time,memory,cpu,app,media,user
01/02/2023 14:15:31,513156,17.1,zoom,webcam,viewer_5
01/02/2023 14:16:00,507724,18.6,zoom,webcam,viewer_5
01/02/2023 14:17:00,523680,7.7,zoom,webcam,viewer_5
01/02/2023 14:18:00,521188,1.6,zoom,webcam,viewer_5
01/02/2023 14:19:00,525476,12.4,zoom,webcam,viewer_5
01/02/2023 14:20:00,530372,10.8,zoom,webcam,viewer_5
01/02/2023 14:21:00,536992,17.1,zoom,webcam,viewer_5
01/02/2023 14:22:00,542596,37.2,zoom,webcam,viewer_5
01/02/2023 14:23:00,537876,17.0,zoom,webcam,viewer_5
01/02/2023 14:24:00,536576,13.9,zoom,webcam,viewer_5
01/02/2023 14:25:00,538836,27.9,zoom,webcam,viewer_5
01/02/2023 14:26:00,527648,12.4,zoom,webcam,viewer_5
01/02/2023 14:27:00,533544,10.9,zoom,webcam,viewer_5
01/02/2023 14:28:00,532244,15.5,zoom,webcam,viewer_5
01/02/2023 14:29:00,533320,17.0,zoom,webcam,viewer_5
01/02/2023 14:30:00,535888,21.7,zoom,webcam,viewer_5
01/02/2023 14:31:00,534360,35.5,zoom,webcam,viewer_5
01/02/2023 14:32:00,534496,9.3,zoom,webcam,viewer_5
01/02/2023 14:33:00,536324,9.3,zoom,webcam,viewer_5
01/02/2023 14:34:00,547196,17.1,zoom,webcam,viewer_5
01/02/2023 14:35:00,552080,17.0,zoom,webcam,viewer_5
01/02/2023 14:36:00,535876,27.9,zoom,webcam,viewer_5
01/02/2023 14:37:39,541292,15.7,zoom,webcam,viewer_5
01/02/2023 14:45:14,603648,45.1,zoom,screen,viewer_5
01/02/2023 14:46:00,482356,12.4,zoom,screen,viewer_5
01/02/2023 14:47:00,490860,9.3,zoom,screen,viewer_5
01/02/2023 14:48:00,492328,17.1,zoom,screen,viewer_5
01/02/2023 14:49:00,494316,15.5,zoom,screen,viewer_5
01/02/2023 14:50:00,498484,9.3,zoom,screen,viewer_5
01/02/2023 14:51:00,491160,18.6,zoom,screen,viewer_5
01/02/2023 14:52:00,492564,12.4,zoom,screen,viewer_5
01/02/2023 14:53:00,497132,13.9,zoom,screen,viewer_5
01/02/2023 14:54:00,491088,20.2,zoom,screen,viewer_5
01/02/2023 14:55:00,491316,10.9,zoom,screen,viewer_5
01/02/2023 14:56:00,485112,17.1,zoom,screen,viewer_5
01/02/2023 14:57:00,485528,14.0,zoom,screen,viewer_5
01/02/2023 14:58:00,487676,4.7,zoom,screen,viewer_5
01/02/2023 14:59:00,489604,15.5,zoom,screen,viewer_5
01/02/2023 15:00:00,491732,12.4,zoom,screen,viewer_5
01/02/2023 15:01:00,486008,17.1,zoom,screen,viewer_5
01/02/2023 15:02:00,486832,14.0,zoom,screen,viewer_5
01/02/2023 15:03:00,535716,39.0,zoom,screen,viewer_5
01/02/2023 15:04:00,512308,12.4,zoom,screen,viewer_5
01/02/2023 15:05:00,593376,20.2,zoom,screen,viewer_5
01/02/2023 15:06:51,599848,9.3,zoom,screen,viewer_5
