Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-01 15-09-52,Data transferred,2368,svchost.exe,C:\WINDOWS\system32,,,,605,0,UDP
2023-02-01 15-09-52,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-01 15-09-52,Data transferred,2368,svchost.exe,C:\WINDOWS\system32,,,,585,0,UDP
2023-02-01 15-09-52,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
2023-02-01 15-09-51,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-01 15-09-50,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-49,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-01 15-09-49,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-01 15-09-49,Data transferred,2132,svchost.exe,C:\WINDOWS\system32,,,,0,344,UDP
2023-02-01 15-09-48,Data transferred,,,,,,,301,0,UDP
2023-02-01 15-09-48,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-48,Data transferred,,,,,,,1030,0,UDP
2023-02-01 15-09-46,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-46,Data transferred,,,,,,,398,0,UDP
2023-02-01 15-09-44,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-44,Data transferred,2132,svchost.exe,C:\WINDOWS\system32,,,,0,344,UDP
2023-02-01 15-09-43,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,4742,939,TCP
2023-02-01 15-09-43,Data transferred,,,,,,,398,0,UDP
2023-02-01 15-09-41,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,174,384,TCP
2023-02-01 15-09-41,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,5007,2024,TCP
2023-02-01 15-09-41,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-41,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-41,Data transferred,,,,,,,344,0,UDP
2023-02-01 15-09-40,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,653,626,TCP
2023-02-01 15-09-40,Data transferred,,,,,,,0,157,UDP
2023-02-01 15-09-40,Data transferred,,,,,,,742,344,UDP
2023-02-01 15-09-39,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,4040,650,TCP
2023-02-01 15-09-39,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,722,993,TCP
2023-02-01 15-09-38,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-38,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,42,42,TCP
2023-02-01 15-09-38,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,540,162,TCP
2023-02-01 15-09-38,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,4094,650,TCP
2023-02-01 15-09-38,Data transferred,3432,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-09-38,Data transferred,2368,svchost.exe,C:\WINDOWS\system32,,,,230,0,UDP
2023-02-01 15-09-38,Data transferred,,,,,,,0,182,UDP
2023-02-01 15-09-37,Data transferred,6400,svchost.exe,C:\WINDOWS\system32,,,,0,836,UDP
2023-02-01 15-09-37,Data transferred,,,,,,,686,0,UDP
2023-02-01 15-09-37,Data transferred,2368,svchost.exe,C:\WINDOWS\system32,,,,605,0,UDP
2023-02-01 15-09-37,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,4376,1136,TCP
2023-02-01 15-09-37,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,4580,891,TCP
2023-02-01 15-09-37,Data transferred,2368,svchost.exe,C:\WINDOWS\system32,,,,585,0,UDP
2023-02-01 15-09-37,Data transferred,5264,taskhostw.exe,C:\WINDOWS\system32,20.44.239.154,443,Singapore,0,836,TCP
