user,media_stream,resource,gmeet_min,zoom_min,siruntu_min,gmeet_max,zoom_max,siruntu_max,gmeet_avg,zoom_avg,siruntu_avg
viewer_3,screen,memory,136200.0,478472.0,37996.0,182200.0,606404.0,68692.0,161675.36,501984.83,66549.50
viewer_4,screen,memory,137008.0,485200.0,46808.0,175116.0,599644.0,56328.0,158626.33,506232.87,54205.04
viewer_5,screen,memory,135568.0,482356.0,49852.0,173816.0,603648.0,60308.0,161162.17,508136.00,57384.92
viewer_6,screen,memory,173864.0,228144.0,40280.0,196308.0,561572.0,61732.0,186699.67,480799.40,59304.80
viewer_7,screen,memory,142268.0,461320.0,37744.0,172036.0,594492.0,63084.0,158299.24,500785.20,60326.50
viewer_8,screen,memory,155500.0,474664.0,55212.0,177716.0,608744.0,62996.0,167135.50,502075.37,61911.04
viewer_9,screen,memory,151372.0,476280.0,39008.0,189004.0,572356.0,56516.0,171525.47,500096.89,54777.82
viewer_10,screen,memory,154048.0,234540.0,40872.0,183712.0,629772.0,60708.0,171442.33,490989.18,57842.29
viewer_11,screen,memory,156780.0,388872.0,34752.0,194752.0,613404.0,56372.0,178360.50,495558.62,54866.00
viewer_12,screen,memory,153768.0,454736.0,36420.0,177100.0,578408.0,59560.0,166345.71,505526.53,57020.37
viewer_13,screen,memory,148160.0,397704.0,33008.0,166036.0,592316.0,55164.0,157212.62,499397.14,53164.56
viewer_14,screen,memory,164008.0,237816.0,39464.0,191808.0,592124.0,61364.0,179895.33,486185.54,58887.76
viewer_15,screen,memory,157152.0,388956.0,34660.0,180960.0,585880.0,56232.0,170833.09,496201.33,53320.25
