Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-39-28,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-27,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-26,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-25,Data transferred,4436,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-39-25,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-24,Data transferred,4436,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-39-24,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-23,Data transferred,4436,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-39-23,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-22,Data transferred,,,,,,,0,217,UDP
2023-02-15 15-39-22,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-21,Data transferred,988,SeriousBit.NetBalancer.UI.exe,C:\Program Files\NetBalancer,185.197.161.81,443,Latvia,151,54,TCP
2023-02-15 15-39-21,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-20,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-19,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-18,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-17,Data transferred,,,,,,,357,174,TCP
2023-02-15 15-39-17,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-16,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-15,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-14,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-13,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-12,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-11,Data transferred,6776,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,172.217.194.188,443,United States,66,55,TCP
2023-02-15 15-39-11,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-39-10,Data transferred,,,,,,,74,74,ICMP
