Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-01 15-10-18,Data transferred,6600,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-01 15-10-18,Data transferred,4,System,,,,,301,0,UDP
2023-02-01 15-10-18,Data transferred,4,System,,,,,92,0,UDP
2023-02-01 15-10-17,Data transferred,4,System,,,,,184,0,UDP
2023-02-01 15-10-17,Data transferred,6600,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-01 15-10-16,Data transferred,,,,,,,66,54,TCP
2023-02-01 15-10-16,Data transferred,,,,,,,398,0,UDP
2023-02-01 15-10-14,Data transferred,6600,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-01 15-10-14,Data transferred,6600,svchost.exe,c:\windows\system32,,,,0,157,UDP
2023-02-01 15-10-14,Data transferred,6600,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-01 15-10-14,Data transferred,,,,,,,342,0,UDP
2023-02-01 15-10-13,Data transferred,,,,,,,0,66,TCP
2023-02-01 15-10-13,Data transferred,6600,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-01 15-10-13,Data transferred,6600,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-01 15-10-11,Data transferred,6600,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-01 15-10-11,Data transferred,,,,,,,398,0,UDP
2023-02-01 15-10-10,Data transferred,3480,svchost.exe,c:\windows\system32,20.198.119.143,443,India,162,54,TCP
2023-02-01 15-10-10,Data transferred,6600,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-01 15-10-10,Data transferred,6600,svchost.exe,c:\windows\system32,,,,434,0,UDP
2023-02-01 15-10-09,Data transferred,3480,svchost.exe,c:\windows\system32,20.198.119.143,443,India,54,265,TCP
2023-02-01 15-10-09,Data transferred,6600,svchost.exe,c:\windows\system32,,,,651,0,UDP
2023-02-01 15-10-08,Data transferred,6600,svchost.exe,c:\windows\system32,,,,434,0,UDP
2023-02-01 15-10-08,Data transferred,,,,,,,398,0,UDP
2023-02-01 15-10-08,Data transferred,6600,svchost.exe,c:\windows\system32,,,,0,179,UDP
2023-02-01 15-10-07,Data transferred,6600,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-01 15-10-07,Data transferred,6600,svchost.exe,c:\windows\system32,,,,0,179,UDP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.124,80,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,9744,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,13.107.237.254,443,United States,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.124,80,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.187,443,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.187,443,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,9744,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,204.79.197.222,443,United States,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.187,443,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,9744,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,13.107.246.254,443,United States,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.124,80,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,2304,WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe,23.195.53.124,80,Indonesia,0,54,TCP
2023-02-01 15-10-07,Data transferred,9744,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,144.2.15.25,443,United States,0,54,TCP
