Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-36-09,Data transferred,,,,,,,93272,2254,TCP
2023-02-15 15-36-09,Data transferred,,,,,,,42939,2330,TCP
2023-02-15 15-36-09,Data transferred,,,,,,,171629,5574,TCP
2023-02-15 15-36-09,Data transferred,,,,,,,130204,3374,TCP
2023-02-15 15-36-09,Data transferred,,,,,,,189798,6213,TCP
2023-02-15 15-36-09,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-08,Data transferred,9072,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-15 15-36-08,Data transferred,,,,,,,66128,1690,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,179199,5162,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,0,66,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,91388,3543,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,90316,2040,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,147776,3254,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,62992,1710,TCP
2023-02-15 15-36-08,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-07,Data transferred,,,,,,,118092,3228,TCP
2023-02-15 15-36-07,Data transferred,,,,,,,182156,5671,TCP
2023-02-15 15-36-07,Data transferred,,,,,,,124695,4196,TCP
2023-02-15 15-36-07,Data transferred,,,,,,,14808,510,TCP
2023-02-15 15-36-07,Data transferred,8468,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,144.126.243.118,8000,Singapore,66,55,TCP
2023-02-15 15-36-07,Data transferred,,,,,,,198334,5512,TCP
2023-02-15 15-36-07,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-07,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,853,0,UDP
2023-02-15 15-36-07,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,60,0,UDP
2023-02-15 15-36-07,Data transferred,,,,,,,240,0,IGMP
2023-02-15 15-36-07,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,638,0,UDP
2023-02-15 15-36-07,Data transferred,2668,svchost.exe,c:\windows\system32,,,,75,0,UDP
2023-02-15 15-36-07,Data transferred,9072,svchost.exe,c:\windows\system32,,,,396,0,UDP
2023-02-15 15-36-07,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-36-06,Data transferred,,,,,,,1014,162,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,88252,3361,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,56936,1622,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,173514,3662,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,44824,972,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,0,66,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,257663,6566,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,11145,910,TCP
2023-02-15 15-36-06,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-05,Data transferred,9072,svchost.exe,c:\windows\system32,,,,396,0,UDP
2023-02-15 15-36-05,Data transferred,,,,,,,686,0,UDP
2023-02-15 15-36-05,Data transferred,,,,,,,201362,4768,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,215535,6786,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,28170,660,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,98957,3284,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,84784,2354,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,2432,162,TCP
2023-02-15 15-36-05,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-04,Data transferred,,,,,,,70096,2551,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,239212,6796,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,144378,4735,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,918,108,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,92354,2616,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,84188,2318,TCP
2023-02-15 15-36-04,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-04,Data transferred,9072,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-15 15-36-04,Data transferred,4,System,,,,,92,0,UDP
2023-02-15 15-36-04,Data transferred,,,,,,,342,0,UDP
2023-02-15 15-36-03,Data transferred,,,,,,,5089,794,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,60,54,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,16058,522,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,6974,270,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,263436,6490,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,155942,3646,TCP
2023-02-15 15-36-03,Data transferred,,,,,,,188284,5917,TCP
2023-02-15 15-36-03,Data transferred,8468,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-36-03,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-03,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-36-03,Data transferred,9072,svchost.exe,c:\windows\system32,,,,217,0,UDP
2023-02-15 15-36-03,Data transferred,4,System,,,,,92,0,UDP
2023-02-15 15-36-03,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-36-02,Data transferred,,,,,,,1574,108,TCP
2023-02-15 15-36-02,Data transferred,,,,,,,128106,3674,TCP
2023-02-15 15-36-02,Data transferred,,,,,,,256414,7647,TCP
2023-02-15 15-36-02,Data transferred,,,,,,,218016,4854,TCP
2023-02-15 15-36-02,Data transferred,,,,,,,8118,1005,TCP
2023-02-15 15-36-02,Data transferred,,,,,,,21743,1406,TCP
2023-02-15 15-36-02,Data transferred,8468,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-36-02,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-36-02,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-36-02,Data transferred,14148,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-36-02,Data transferred,9072,svchost.exe,c:\windows\system32,,,,179,0,UDP
2023-02-15 15-36-02,Data transferred,4,System,,,,,92,0,UDP
