time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-15 14:59:07,14760.0,0.0,11032,2405,siruntu,webcam,viewer_9
2023-06-15 14:59:08,29520.0,0.0,15674,1010,siruntu,webcam,viewer_9
2023-06-15 14:59:09,14760.0,0.0,26044,330,siruntu,webcam,viewer_9
2023-06-15 14:59:10,14760.0,0.0,20318,372,siruntu,webcam,viewer_9
2023-06-15 14:59:11,14760.0,0.0,19045,484,siruntu,webcam,viewer_9
2023-06-15 14:59:12,14760.0,0.0,22756,844,siruntu,webcam,viewer_9
2023-06-15 14:59:13,14760.0,0.0,17293,620,siruntu,webcam,viewer_9
2023-06-15 14:59:14,14760.0,0.0,20857,732,siruntu,webcam,viewer_9
2023-06-15 14:59:15,14760.0,0.0,23613,932,siruntu,webcam,viewer_9
2023-06-15 14:59:16,14760.0,0.0,20080,856,siruntu,webcam,viewer_9
2023-06-15 14:59:17,14760.0,0.0,20153,906,siruntu,webcam,viewer_9
2023-06-15 14:59:18,14760.0,0.0,19993,732,siruntu,webcam,viewer_9
2023-06-15 14:59:19,14760.0,0.0,18851,844,siruntu,webcam,viewer_9
2023-06-15 14:59:20,14760.0,0.0,19790,590,siruntu,webcam,viewer_9
2023-06-15 14:59:21,14760.0,0.0,21950,732,siruntu,webcam,viewer_9
2023-06-15 14:59:22,14760.0,0.0,22086,648,siruntu,webcam,viewer_9
2023-06-15 14:59:24,14760.0,0.0,22851,590,siruntu,webcam,viewer_9
2023-06-15 14:59:25,29520.0,0.0,16917,490,siruntu,webcam,viewer_9
2023-06-15 14:59:26,14760.0,0.0,21968,790,siruntu,webcam,viewer_9
2023-06-15 14:59:27,14760.0,0.0,20798,622,siruntu,webcam,viewer_9
2023-06-15 14:59:28,14760.0,0.0,20976,572,siruntu,webcam,viewer_9
2023-06-15 14:59:29,14760.0,0.0,19734,702,siruntu,webcam,viewer_9
2023-06-15 14:59:30,14760.0,0.0,19890,448,siruntu,webcam,viewer_9
2023-06-15 14:59:31,14760.0,0.0,19975,702,siruntu,webcam,viewer_9
2023-06-15 14:59:32,14760.0,0.0,20448,448,siruntu,webcam,viewer_9
2023-06-15 14:59:33,14760.0,0.0,20479,648,siruntu,webcam,viewer_9
2023-06-15 14:59:34,14760.0,0.0,18865,590,siruntu,webcam,viewer_9
2023-06-15 14:59:35,14760.0,0.0,19155,448,siruntu,webcam,viewer_9
2023-06-15 14:59:36,14760.0,0.0,20753,560,siruntu,webcam,viewer_9
2023-06-15 14:59:37,14760.0,0.0,21573,652,siruntu,webcam,viewer_9
2023-06-15 14:59:38,14760.0,0.0,22660,684,siruntu,webcam,viewer_9
2023-06-15 14:59:39,14760.0,0.0,20158,790,siruntu,webcam,viewer_9
2023-06-15 14:59:40,14760.0,0.0,17126,336,siruntu,webcam,viewer_9
2023-06-15 14:59:41,29520.0,0.0,20636,602,siruntu,webcam,viewer_9
2023-06-15 14:59:42,14760.0,0.0,19555,590,siruntu,webcam,viewer_9
2023-06-15 14:59:43,14760.0,0.0,21540,648,siruntu,webcam,viewer_9
