Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-01 15-10-55,Data transferred,,,,,,,605,0,UDP
2023-02-01 15-10-55,Data transferred,,,,,,,585,0,UDP
2023-02-01 15-10-53,Data transferred,13064,svchost.exe,,23.32.126.249,443,Indonesia,0,66,TCP
2023-02-01 15-10-51,Data transferred,,,,,,,42,42,TCP
2023-02-01 15-10-51,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-50,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-50,Data transferred,,,,,,,66,54,TCP
2023-02-01 15-10-49,Data transferred,13064,svchost.exe,,23.32.126.249,443,Indonesia,0,66,TCP
2023-02-01 15-10-49,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-49,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-49,Data transferred,,,,,,,211,96,UDP
2023-02-01 15-10-47,Data transferred,,,,,,,0,836,UDP
2023-02-01 15-10-47,Data transferred,13064,svchost.exe,,23.32.126.249,443,Indonesia,0,66,TCP
2023-02-01 15-10-47,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-02-01 15-10-47,Data transferred,,,,,,,815,0,UDP
2023-02-01 15-10-47,Data transferred,,,,,,,0,1632,UDP
2023-02-01 15-10-47,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,836,TCP
2023-02-01 15-10-45,Data transferred,,,,,,,0,836,UDP
2023-02-01 15-10-45,Data transferred,,,,,,,0,836,UDP
2023-02-01 15-10-45,Data transferred,,,,,,,216,348,TCP
2023-02-01 15-10-45,Data transferred,13064,svchost.exe,,23.32.126.249,443,Indonesia,0,66,TCP
2023-02-01 15-10-45,Data transferred,,,,,,,2445,0,UDP
2023-02-01 15-10-45,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-45,Data transferred,,,,,,,209,95,UDP
2023-02-01 15-10-45,Data transferred,,,,,,,0,1632,UDP
2023-02-01 15-10-44,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-44,Data transferred,,,,,,,0,95,UDP
2023-02-01 15-10-43,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-41,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,204.79.197.200,443,United States,0,54,TCP
2023-02-01 15-10-41,Data transferred,10600,Microsoft.Photos.exe,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20090.1002.0_x64__8wekyb3d8bbwe,52.167.249.196,443,United States,0,54,TCP
2023-02-01 15-10-41,Data transferred,10600,Microsoft.Photos.exe,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20090.1002.0_x64__8wekyb3d8bbwe,13.107.5.88,443,United States,0,54,TCP
2023-02-01 15-10-40,Data transferred,7892,CCleaner64.exe,C:\Program Files\CCleaner,34.117.223.223,443,United States,343,54,TCP
2023-02-01 15-10-40,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-38,Data transferred,7892,CCleaner64.exe,C:\Program Files\CCleaner,34.117.223.223,443,United States,5651,1400,TCP
2023-02-01 15-10-38,Data transferred,,,,,,,131,164,UDP
2023-02-01 15-10-38,Data transferred,7892,CCleaner64.exe,C:\Program Files\CCleaner,34.117.223.223,443,United States,605,0,TCP
2023-02-01 15-10-36,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-36,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-02-01 15-10-35,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,204.79.197.200,443,United States,1269,4514,TCP
2023-02-01 15-10-33,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,204.79.197.200,443,United States,0,66,TCP
2023-02-01 15-10-33,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-33,Data transferred,,,,,,,215,72,UDP
2023-02-01 15-10-33,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-32,Data transferred,,,,,,,84,84,ICMP
2023-02-01 15-10-32,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-31,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-31,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-02-01 15-10-31,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-30,Data transferred,,,,,,,42,42,ICMP
2023-02-01 15-10-30,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-29,Data transferred,,,,,,,605,0,UDP
2023-02-01 15-10-29,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-29,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-02-01 15-10-29,Data transferred,,,,,,,585,0,UDP
2023-02-01 15-10-29,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-28,Data transferred,13064,svchost.exe,,104.93.212.33,443,Indonesia,0,66,TCP
2023-02-01 15-10-28,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-02-01 15-10-28,Data transferred,,,,,,,208,96,UDP
2023-02-01 15-10-28,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-27,Data transferred,3756,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,108,TCP
2023-02-01 15-10-27,Data transferred,,,,,,,104,110,UDP
2023-02-01 15-10-27,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-26,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-26,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-25,Data transferred,,,,,,,605,0,UDP
2023-02-01 15-10-25,Data transferred,,,,,,,585,0,UDP
2023-02-01 15-10-25,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-24,Data transferred,,,,,,,605,0,UDP
2023-02-01 15-10-24,Data transferred,,,,,,,585,0,UDP
2023-02-01 15-10-23,Data transferred,,,,,,,845,0,UDP
2023-02-01 15-10-23,Data transferred,,,,,,,585,0,UDP
2023-02-01 15-10-23,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-22,Data transferred,,,,,,,480,0,UDP
2023-02-01 15-10-22,Data transferred,1472,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,142.251.12.188,5228,United States,54,0,TCP
2023-02-01 15-10-22,Data transferred,,,,,,,440,0,UDP
2023-02-01 15-10-21,Data transferred,1472,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,142.251.12.188,5228,United States,54,54,TCP
2023-02-01 15-10-21,Data transferred,,,,,,,179,0,UDP
2023-02-01 15-10-21,Data transferred,,,,,,,0,74,ICMP
2023-02-01 15-10-19,Data transferred,,,,,,,74,74,ICMP
2023-02-01 15-10-18,Data transferred,,,,,,,0,450,UDP
2023-02-01 15-10-18,Data transferred,,,,,,,74,74,ICMP
